ISCA,50
PLDI,42
IEEE PACT,41
CODES,40
IPDPS,38
SC,37
HPCA,35
DATE,34
DAC,32
POPL,32
ICPP (1),29
ASP-DAC,25
ICPADS (1),21
CGO,21
FCCM,18
EMSOFT,18
CODES+ISSS,16
ACM Great Lakes Symposium on VLSI,15
Conf. Computing Frontiers,15
ISVLSI,14
ASAP,14
LCTES,13
VLSI Design,12
CC,12
FPT,12
CASES,12
Code Generation,10
ARCS,8
Method and tools for compiler construction,6
Foundations and Trends in Electronic Design Automation,5
ARCS Workshops,5
Embedded Systems,4
