Memory System Performance,9,256
Memory System Performance and Correctness,7,347
ACM Policy,6,118
ACM Southeast Regional Conference,9,449
ACM Southeast Regional Conference (1),7,251
ACM Southeast Regional Conference (2),10,371
Universal Access in Health Telematics,2,15
Universal Access in Ambient Intelligence Environments,9,235
ARES,20,2756
CGIV,7,269
CIT,14,2075
IEEE ICCI,14,1222
Interaction between Compilers and Computer Architectures,2,8
IEEE Workshop on Multimedia Signal Processing,21,1745
IEEE PACT,41,5784
PACT,31,4071
IEEE SCC,17,1276
IEEE SCW,12,684
IEEE SCC (1),13,561
IEEE SCC (2),13,747
ISCA PDCS,15,999
ISCA PDCCS,5,70
L Systems,8,191
Theory and Applications of Relational Structures as Knowledge Instruments,9,272
RelMiCS,11,466
Asia-Pacific Computer Systems Architecture Conference,14,880
ACSAC,22,2002
ACAC,6,103
AAAI,35,8873
"AAAI/IAAI, Vol. 2",30,5954
AAAI/IAAI,111,45731
AAAI Workshop on Intelligent Multimedia Interfaces,11,1067
"AAAI/IAAI, Vol. 1",45,8517
Agent Modeling,7,141
Deep Blue Versus Kasparov: The Significance for Artificial Intelligence,3,35
AACC,7,142
AADEBUG,10,304
AAECC,12,517
AAIM,16,959
Adaptive Agents and Multi-Agents Systems,7,133
Adaptive Agents and Multi-Agent Systems,9,185
Mobile Communications,9,894
Komplexität von Entscheidungsproblemen 1976,1,23
Advanced Course: Operating Systems,9,450
Concurrency and Hardware Design,6,182
Lectures on Data Security,6,367
Lectures on Concurrency and Petri Nets,12,985
APPSEM,8,390
Advanced Course: Net Theory and Applications,9,699
Advances in Petri Nets,22,7293
Term Rewriting,7,149
Petri Nets (2),6,351
Future Directions in Distributed Computing,13,716
Advanced Course: Fundamentals of Artificial Intelligence,7,437
Advanced Topics in Artificial Intelligence,4,60
Future Parallel Computers,6,131
Advanced Studies in Biometrics,5,66
Abstract Software Specifications,8,930
Software Reliability Modelling and Identification,4,134
The Data Parallel Programming Model,8,348
Advanced Course: Local Area Networks,3,29
Advanced Lectures on Machine Learning,7,2909
Computer Security and Industrial Cryptography,5,59
Mathematical Models for the Semantics of Parallelism,6,168
Computational Discrete Mathematics,7,128
Method and tools for compiler construction,6,164
Advanced Course: Distributed Systems,6,373
Embedded Systems,4,34
State of the Art in Applied Cryptography,8,281
Language Hierarchies and Interfaces,8,2965
Advanced Course: Microcomputer System Design,2,106
Advances in Distributed Systems,11,443
Machine Learning and Its Applications,11,406
Generic Programming,8,247
Petri Nets,13,577
Advanced Course: Software Engineering,6,191
Compiler Construction,9,184
Analysis of Dynamical and Cognitive Systems,3,36
Theoretical Aspects of Computer Science,4,105
Domain Modeling and the Duration Calculus,3,19
Accurate Scientific Computations,3,48
ACCV (2),17,1083
ACCV (1),15,1104
ACCV,12,714
ACE,22,1326
ACG,7,192
ACiD,9,249
ACII,25,2372
Advances in Computational Intelligence and Learning,8,147
ACISP,13,679
"Automation, Control, and Information Technology",3,31
ACIVS,12,663
ACL,58,16005
COLING-ACL,51,10919
ACL (Companion Volume),5,750
ACL Workshop on Natural Language Processing in the Biomedical Domain,8,446
ACM Conference on Computer Science,19,11099
ACM Annual Conference (1),10,375
ACM Annual Conference - The range of computing: mid-80's perspective,5,123
ACM Annual Conference (2),9,306
Algebraic and Coalgebraic Methods in the Mathematics of Program Construction,6,193
ACNS,17,1156
AC,12,342
ACPC,10,543
ACRI,9,337
The Analysis of Concurrent Systems,6,210
ACSC,15,965
ACSD,11,540
ACSW Frontiers,28,2775
Ada Deutschland Tagung,1,5
Ada-Europe,8,253
Ada Software Tools Interfaces,3,16
System Development and Ada,4,82
ADB,11,362
ADBIS,7,278
ADBIS (Short Papers),5,49
ADBIS Research Communications,8,164
ADBIS-DASFAA,11,351
ADBIS (Local Proceedings),8,157
ADBIS-DASFAA Symposium,6,166
ADBIS (local proceedings),4,41
Advances in Data Base Theory,9,287
Logic and Data Bases,11,4607
Australasian Database Conference,19,1409
ADC,11,555
Australian Database Conference,7,132
ADCOG,3,27
ADCS,0,0
Automated Deduction in Geometry,3,33
ADHOC-NOW,10,474
ADIS,2,6
ADL,26,3157
ADMA,19,1735
ADS,2,19
ADT,8,206
ADVIS,13,743
Artificial Evolution,5,103
AES Candidate Conference,15,869
AES Conference,10,463
AFIPS National Computer Conference,25,3147
AFIPS Spring Joint Computing Conference,13,2623
Advanced Functional Programming,5,137
AFPAC,10,317
Afrigraph,9,337
AFSS,13,526
AGDM,6,128
Issues in Agent Communication,12,1182
Workshop on Agent Communication Languages,15,700
AgentLink,16,1517
Agents,77,23743
Trust in Cyber-societies,10,748
Agents Workshop on Infrastructure for Multi-Agent Systems,12,610
AGILE,12,585
Agile Development Conference,13,492
APPIA-GULP-PRODE,11,358
GULP,8,154
GULP-PRODE (2),5,94
GULP-PRODE,9,287
GULP-PRODE (1),7,211
AGTIVE,3,20
AH,13,560
Canadian Conference on AI,9,431
Artificial Intelligence and Applications,11,986
AICCSA,14,1654
AICS,4,47
AICT/ICIW,22,1765
AICT/SAPIR/ELETE,11,475
AICT,12,765
Applications of Invariance in Computer Vision,15,1108
AIED,21,2198
Music Education: An Artificial Intelligence Approach,5,45
AIFIPP,7,562
Mathematical Methods of Specification and Synthesis of Software Systems,4,78
AII,12,605
AI*IA,10,492
AIMDM,13,565
AIME,12,643
K4CARE,6,126
Advances in Modal Logic,8,218
AIMSA,8,231
AINA,17,2372
AINA (2),22,2019
AINA (1),24,2292
AINA Workshops (1),13,966
AINA Workshops (2),19,1589
AINA Workshops,18,2611
AINTEC,6,175
AIPR,8,219
AIPS Workshop on Planning for Temporal Domains,5,227
AIPS,39,4660
ICAPS,20,1878
Expert Planning Systems,6,104
Advanced Information Processing Techniques for LAN and MAN Management,4,43
AIRS,10,432
AIS,5,118
AISA,3,39
AIS-ADM,9,241
"Evolutionary Computing, AISB Workshop",25,2284
AISB Convention,4,31
AISC,13,562
AISMC,12,525
AISC/MKM/Calculemus,13,528
AISM,5,86
AIWoRC,9,453
AKA,3,28
ALaRT,4,29
Algorithmic Languages and Calculi,9,259
ALENEX,15,649
ALENEX/ANALC,10,537
ALENEX/ANALCO,12,580
ALGOL 68 Implementation,6,228
ALGOSENSORS,7,174
ALIFE,16,782
ALP,21,1416
ALP/HOA,9,290
ALPUK,7,191
Anticipatory Behavior in Adaptive Learning Systems,12,474
ALT,11,678
AII/ALT,12,419
ATL,11,425
Algebraic Logic and Universal Algebra in Computer Science,5,212
Algebraic Methods,8,555
AMAI,17,979
AMAST,10,357
AMCP,8,258
AMCS,1,14
AMDO,7,230
